Protein	Individual_Vital_28_1	Individual_Vital_29_1	Individual_Vital_30_1	Individual_Vital_31_1	Individual_Vital_32_1	Northstar_QC_P1_1	Northstar_QC_P1_2	Northstar_QC_P2_1	Northstar_QC_P2_2	Vital_QC_P1_1	Vital_QC_P1_2	Vital_QC_P2_1	Vital_QC_P2_2
P04075	12341386.999999702	12305775.000000259	7490527.000000196	13285844.0000005	3831250.0000000247	11145690.000000224	15181976.999999836	10370823.000000108	9540902.000000173	11616491.00000008	12184783.999999715	9471641.000000294	9338088.000000136
P04080	1344402.990211248	1161741.7449004094	1465941.3443659043	733444.4829085066	539013.181574968	966074.8344528844		1192745.3872662066	1602329.8698879138	1420735.756694937	1518621.6182017303	1812843.6250000112	1910848.9682230265
P04083	708790.04193844	373847.4903199327	431202.19765172666				156531.69446444738		148937.64965462923	1369549.8252666628	1695783.000000015	1255058.6032879264	1865503.4805102977
P04114	1413772.2661516797	321443.17228996585	543813.668224256	1561355.2370067977	1139653.3919098151	870207.4404295462	445526.83676049387	443902.290836791	785187.8497812891	913989.5577727776	756597.3734013368	511009.2622921645	759351.8470732246
P04196	775415.7668525013					680590.671523931			711818.622239957	990253.5042104321	618178.392913883		770532.4301584605
P04211	599793.9374999866		711488.8749999802	625738.8749999925	839273.2500000175	782152.3749999722	911446.437500002		649096.0		534484.4999999853		
P04217	1607607.4055540715	829239.896238295	1467392.5944895342	1625997.3571709546	1222612.0326803955	905943.3412689345	715803.0823243168	753918.5530489131	820334.9620822223	1275838.5938334062	1688229.439847527	1094816.181118265	1438409.885137326
P04264	1783842.9526469507	2057500.3083689846	1022838.5633177246	1674933.4100071527	1597727.270845423	2634170.1212460706	1217724.5471894294	663189.5762008568	2440663.5466416324	3028433.871075705	686696.2314034614	335370.3449507466	488459.17170859774
P04406	9302726.999999734	12212480.999999842	12406233.999999566	8931650.000000082	3940733.5000001364	11134971.99999977	10420369.000000002	7942027.499999717	8422619.999999736	14964243.000000203	14649912.999999966	8026254.999999838	12537316.000000177
P04430	2146638.4999999516		1491011.0000000475		920512.9375000189	852508.4375000187			2059876.749999945	969337.8750000063	895261.5624999872	1019177.061999983	939290.8750000264
P04632	178727.70087822867	103585.50779999785	170491.53114823345			121453.26948973493			156601.79564054747	224760.46879999246	224903.03120000745	177602.32730526547	276055.37500000664
P04792	722817.770232991	1087344.8736610487	1164284.4738096588	775891.6404190495	233570.70210284888	1490401.8325311753	859999.2869735872	530027.8426068706	1650408.2387287572	1720074.0382947274	1622687.844449401	656121.8787705187	1479575.8157302602
P04843	777049.7791674507	611709.0585846348	936687.111295378	207003.6958275969		598327.7462191134	492126.2860552364	368866.69990617904	635113.3607002544	1009650.4771816806	1265914.1266116528	661969.5470551043	1219598.8409632964
P05090	2436313.0000000317	1169943.6290150818	2456251.5000000177	1475347.3729011486	2624587.5000000214	3649060.7500000796	3188824.17177164	4059622.499999902	5425844.999999916	2813006.0000000615	2254943.499999923	3552630.749999904	4579411.4999998985
P05109		284086.8224574047	480112.1918045517		141313.81698416692	143833.02057557536				1316542.033788928	1615624.3427247985	960471.0547131064	1224312.6913412882
P05154	286462.9417309252	156934.68308171118	1839846.1996395655	3417179.333042815	524908.8442920345	2035995.1552360458	1110767.4037312858	1606584.4349111714	1886827.9440555156	498359.4801151102	481497.7960514016	255534.8413789136	500593.87779558514
P05156	1435053.868062944	380986.7077728787	1044214.670169834	758687.3125000093	1083074.460142581	616574.4284799503	233080.72170212757	247539.7866565393	384965.2418191758	952091.8327054057	1021246.1296268199	424722.7747395925	736780.1198146926
P05198	687241.6688148748	477376.04432013514	599924.646814821	329799.2329100202		351928.35282243945	410379.3806230941	314125.8480198372	356208.9460406512	816990.440548911	715015.5662455823	509013.6555808625	596632.0317824078
P05362	420080.59379999654	338851.34380000585	406436.5937999925		412543.9999999867	375290.62500000314			473118.4688000067	722405.062499983	782138.6875000239	412129.7500000077	544147.6874999962
P05387	641089.9559160162	456111.13974698825	612157.625826713			301173.43099029263			485074.63526732096	578172.2300177269	550292.7658570061	652804.4557995155	627916.9053158564
P05413	21764378.103266086	42121409.75956726	25209024.22884617	27952010.731474824	15640251.18303989	27363011.758677483	17719805.793160643	23693193.58520808	29612336.978889853	25080703.260640446	24718950.758777313	22455359.958836637	25894899.510919612
P05452	851781.0625000241		586982.6250000148	1362158.6249999823	896940.8124999889			462072.15619998967	965478.8124999696	757500.5624999994		1083276.874999987	990630.8749999701
P05543	343400.9928320021	200489.29666604334	226864.49543364823	218076.45850974455	327830.04768463614	86115.21819733632	81343.49706768765		77003.14463136233	272457.00245313416	226883.44621378422		108245.79566053071
P05546	779984.0741398041	573242.889119322	492368.1895337714	757809.8848054387	713993.4493131579	565767.3125000028	87720.92126357896	557768.7285725923	626279.5625000093	681583.3481485577	667813.3297712253	288886.7122858008	816534.624999978
P05783	4617777.000000015						7144936.999999754		4914984.000000108	4321040.499999891	4620275.500000146	4535707.999999871	5672729.499999928
P05814	27041978.000000153	96471789.21225464	65258646.965132475	137441551.99160644	119875215.99999882	146481090.42216843	193114130.81326932	150727659.71036342	141603391.99999884	57527513.90575459	59156362.40524163	44004982.703165516	71473104.57269044
P06241	877610.1249999836		1147054.12499997						2251089.2500000177	867858.6250000087		1547019.6249999586	1843336.1249999714
P06312	4239847.936638633	2330458.487287326	2441792.000000075	2429849.7184934095	2540737.75000008	4301175.211617552	1282836.0213265424	585219.206603414	1834055.500000025	2800006.0000000447	3064989.219388524	1035263.56200003	1745904.3956146848
P06396	583730.3260018273	986687.6088286703	846450.3250860713	1380401.9110902785	1476967.011955118	1471900.1768068965			1414229.3750000494	1073509.625000025	653936.7227561899	293209.8386727723	750478.8822124783
P06576	274373.40172874555	250634.0601975432	932975.4711764712			329679.7518494307			268078.6605551793	933181.3904050007	1017839.8441811657	436024.98255989375	465718.7397110942
P06681	103050.0546999967	217490.57809999294	296022.7811999968	414220.8749999889		177021.0155999956	238759.5469000033			254983.64059999047	217503.71879999794		
P06702	195339.76965524163	1045461.5380827817	2719572.856017568		497354.3867667395	441475.89877075324	169416.36793887874	212471.0570691578	236361.15118657364	7763518.108255646	9713432.550958754	1932482.773782222	5177500.559566133
P06727	1608978.5451197855	1084379.7470124918	841498.808640551	2848656.8963914686	2049911.498203669	1307970.7840001667	829270.7187388744	698027.8741147516	1301534.6334615564	1376253.48569933	1341930.7197003558	946154.8911980491	1239510.7669331145
P06733	1006368.9439737365	1135472.5704921286	1026955.5342105676	715489.5389955934	401361.9868212095	890014.851807158	641190.2050756906	299670.2276273959	579894.648228573	1381263.904990981	1660063.5585754176	633961.5703800562	1049484.8630264285
P06858	3825632.744388955	3798499.4697897662	3600021.806315623	4296568.7395033995	3116546.2673112988	5135426.76952278	2534406.1755857295	3245362.6828974984	4543425.857566369	2969980.932183904	3236550.210233515	2065366.3258844835	2750233.516730114
P06865	989688.5536205155	355621.1274938498	434814.19997081236	707687.1747118755		656682.283637707			558911.5347751444	807422.817662219	570774.4110171095	366817.3559254206	459946.3770188157
P07195	2284883.792801483	2385432.3971293154	2250071.331280598	1955858.1111487106	616042.7271670694	2592335.9471440385	1023942.3281668177	1190513.5671063168	2198765.927460251	2444488.9883250087	2385378.3659166326	1757988.398597181	2472570.1819138494
P07237	1504464.8991070301	1679188.4903115015	2737638.478814656	944081.1931194977	525512.9731492233	2093305.2472294457	1002363.9133412442	1157774.0777225313	2461828.9473696263	2387867.58776841	2396927.008766523	1173993.200085754	2148031.586191867
P07339	2296259.924433581	791965.9539933796	1382153.3948527486	2396813.249999967	458279.336779071	2795307.0711442307	1870980.9510761518	1973989.7179470356	2644718.0393538848	2379498.249999994	2260033.250000001	1200754.816224975	1806247.595359901
P07357	2091476.125000043	1563761.1249999683		2158113.4999999288	1885421.1250000428	1969065.8750000184			2675023.499999933	1442848.0000000263	1209687.3749999932		
P07358	923751.6414124381			944518.2784790136	419318.4453771104	343543.0388860628		321124.0122988444	548438.116200574	523650.0824826107			444723.7145878596
P07360	1165719.1635081023		342295.5016429813	574896.038313074	592577.7080117327	583966.1039736302				702914.7768906399	729809.286841281	540033.1084518067	647650.8159765996
P07384	1344113.0468395462	976470.2545642521	668057.7310076724	653751.9525129215		761277.1929841978	694399.7732433599	815319.7422045853	563918.3878182564	815244.6545009359	1309067.4940529696	884659.3820452398	1184591.2579634942
P07437	303320.8459357572		432747.31260959996			246690.15873675456	255474.51576786782			857406.5823287932	705943.3994448158	363944.68484328646	404663.0777304922
P07498	308984602.3142271	242953479.4575017	108754832.74252458	266263862.41692325	293064565.2615872	278049237.9006854	13750741.004596554	287561859.023608	380359266.2729692	194596646.4967551	174451891.09203148	171015219.04890263	212742617.01927027
P07686	794883.3618241233	525758.9422381923		940458.9217192204	390808.59244649834	1019917.5493198077	720807.3331653678	390331.1113512153	975000.9189589274	600486.5283979322	483692.6598944326	751228.7064818615	450945.97909856867
P07737	830075.6987008181	1024794.255377225	1344493.6650330354	497747.99733523175	275188.48671213863	615351.9129749881	493706.71237810096	362627.13519243407	695215.6892301718	1794515.478299328	1696572.1478523272	1312752.4125462607	1569569.7620002504
P07814	377557.489857862	378278.1425206523	469179.7173632405	145243.83399800168		309302.59971050435	337732.3640317694		241539.14019127924	550142.413500862	480342.1013064374	224986.8987512513	413192.71575393016
P07858	733925.9315277929	464902.67243289156	802088.4372867132	742736.7897244412	185897.86207833904	989644.6693730844			447603.6537555208	1109645.5000000354	851260.9386893696		656295.90551864
P07947	239358.67189999745	368825.46879999706	728965.4375000224	360579.6250000004	122228.14840000246				176857.46879999555	576803.4375000028	274152.2500000083		354917.06249999674
P07996	2097151.957971341	1313740.1912840267	1140244.4412548728	641504.3201540444	1515918.88598228	725808.1555505011		984112.8995570801	831575.895826436	2816838.681885678	2773670.24999994	2388898.4339127205	2639471.6732238233
P08133	480692.9999999966									721484.8749999906	434861.468799992		371594.28120000876
P08134			780456.1249999874						88339.4296899983	321219.312500011			554345.3124999986
P08185	1894501.6322721664		1232207.6197354856	1078056.0611431345					744908.6032997028	1066668.8643361295	846149.5937810447	297304.0005279372	756410.0474333053
P08238	1808681.242677882	1298952.0810877352	1532814.1895062597	1349432.2637040503		1140035.4886817222	673404.769133825	544284.6489869385	1043647.5503732428	1974008.4920267712	1892761.8116412226	847335.3841165373	1775883.7408804249
P08246			1076969.6176425319							2846005.678290193	3322269.080249469		1455496.3614909805
P08294	1141485.8750000366	1197716.6249999711	915164.3828263037	1501484.2500000007	1683016.1208499772	1285678.3749999586	365018.4437146394	977807.6250000095	1258460.0832025253	913769.9978553542	887614.3690307473	545671.6132801812	1000429.8119999948
P08311			1363075.684717442			213623.2665477677				3109005.07894009	3661101.0713551934	1812360.4425045673	2634252.273511071
P08571	11283515.05753834	8038961.938661718	8623220.076618923	8555938.9724592	9339870.36293139	10251340.000000171	2945810.8869340713	9957099.76918259	10186592.897871086	7940435.653722095	8002074.604742322	6256844.725095114	9883634.320140328
P08572	183811.57194810393		226310.57563827393							272179.54382389	272631.7844362029		182865.02797073804
P08603	1014897.4745357373	534768.1874999859	737490.465864181	761006.2499999807	780109.419663233	430658.1978307817			409055.66078268096	913427.2947805272	700305.8750000151		647308.9974694438
P08670										664636.2326135177	780496.944769373	405077.2494330002	673282.4459476833
P08697	3227923.4999999744	2962458.9999999474	2169079.000000055	4024603.750000054	3332673.5000000424	4299892.499999888	5266869.000000182	2563938.749999935	3404313.249999939	2275934.0000000233	2208258.7499999446	1764452.6249999786	2117184.0000000014
P08708	622983.3554579887	626207.7248459338	814393.6017789005						330007.56184956036	976762.2887878224	756919.6333547493		607260.2852597631
P08727											977039.5000000148	1138736.6249999814	1054790.3750000265
P08729										1285698.0000000352	891660.5625000144		
P08754	676382.4999999827	1210590.6250000088	977233.9374999679	1194429.1249999804	935583.9375000212				1089092.3749999832	1288091.750000026	1436169.6249999558	1623152.6249999872	1256812.7500000286
P08758	1001242.1261171538	700741.558483179	1070488.7633773424	536296.6249999892	209927.84813635613	721130.1847256508	416442.52018959145	654794.1648559896	905872.5211755062	1562288.2373648502	1258203.842637861	803150.9422163265	1374050.6540041922
P08779		406066.3124999973	599226.8750000088			472106.3750000032	677806.3750000186			552660.3749999829			
P08865	781899.8354805566	732523.4373649168	896719.5707024115	334837.28932192124	203908.0845373105	593159.1018250368	432725.6913111366	436184.9932918838	645779.0656868351	961993.0337813791	1002536.5177334085	740551.4209391753	1024134.6145146044
P09110	344399.11958757223	180455.9000509395	485753.6626302757			243883.1501626087		290762.09163193806	509871.1349241581	433571.3636756533	462561.33061067696	300107.9524989489	234445.73224818078
P09211										1446573.5113686158	1723140.338778089	497557.8292528578	682891.3525549698
P09237			523430.2165091997						257319.28559122948	713268.5531543008	736989.8124999958		703884.121769434
P09382										916629.8124999704	938972.3749999666	699882.8124999854	724215.3124999815
P09467	705410.8797690528	1619661.9527926599	659967.0283282549	845532.45120469	338089.7469204339	1008467.0079539476	335778.77711859986	475938.1916520521	533346.9495575494	925306.7092946485	956822.8378883192	726300.9395576804	506462.3390482627
P09493-5		1026374.062000012	951305.562499978	900144.6874999831	363830.40619999106	738502.437500026	1017293.9380000171		924998.7499999672	834183.1250000146	850159.8749999898	347477.59379999776	864031.812499975
P09525	581081.2938715033	401492.9724474548	456124.2398170458			487008.8820517453			557526.4589674115	759890.9936225204	891554.2695982355	371805.5978968964	715420.3028965215
P09758	472715.3750000136	382373.8749999969		626119.4374999835		412956.31249999994			714267.3125000142	726510.0624999882	1135368.3750000035	738108.9374999851	714937.1875000178
P09871	367178.43750000914		312850.3125000051		394514.84380000946				183978.99999999828	468602.43750001036	304524.2500000031		472598.8438000082
P09972			478727.64787135547						328631.40404986846	340046.2188000081	388514.9346884304		343365.35622331826
P0C0L5	3396218.985886957		1628890.042476676	306495.7341554012	319904.79713535914	417401.2380241961	348776.4417758564	161926.87119890787	425413.50582451397	2543182.8460984887	1796133.2788954182	298735.7581827165	2824903.7076031226
P0DJI8	518051.3311417786		615380.4591576392			423227.8553752963			245121.45786364417	495000.6927656913	685158.985719276		422918.37447090313
P0DTE1	532751.2500000054		633416.4375000186	438066.4999999914									
P10153										2163649.5299637164	2209952.2474630005	1664500.285617591	2012925.7344003012
P10253	272231.84379999695											117058.39839999676	292401.2499999916
P10301	137602.89582081573	405971.0153038777	153960.94861752758	188201.32162582313	94981.1719713684	236677.97439404842	103945.11888700946	197506.39417740898	450210.28927788924	274159.9347397767	280853.601206368	202455.6539839333	273477.979036167
P10451-5	3824187.5747827776	13768029.206103887	9916920.118145322	24917395.3998731	15347610.618193215	29274678.653691236	37890946.45196439	20749975.42914271	21387549.56428141	9378847.964722738	9276354.011371586	9173236.7776163	16134423.226225007
P10599	1057002.1250000056		593935.562499994							827985.312499989			612050.0000000158
P10620	567320.6651934335		461758.1021694856						683063.1605012426	944035.0278689045	628510.9821272271	371738.6274892907	1253987.5000664738
P10643	1232710.323760642	309164.669815798	1875108.6920494372	1574300.623885402	326971.19449764653	1594630.1383192935		2046556.278008959	1622769.0481681493	734711.9935979168	635015.1690317092	749504.6542188685	754162.7122855025
P10644	381869.00000000594	869857.187499981	490201.87500000093						275470.99999999435	642712.3750000052	529963.874999988		331938.8124999885
P10768	419868.17230107746	784441.3952298866	696570.8112360864	418266.07849217067	286542.0407584132	531486.8911236805		473120.4521947008	661412.5556197836	571987.6641377315	752115.8722007388	370526.7745463013	809675.0984546165
P10915	5438157.500000082	3059530.749999955	2798674.99999992	2056293.37500004	4405734.500000106	2071853.2500000102			1040548.6879999684	2992511.999999951	2959694.4999999953		1542704.749999958
P11021	567404.6255927876	664583.9910281574	858715.8139428151	455301.47032680083	301682.05351544573	780118.3498554225	413948.41719601816	460704.2175180244	906674.7563003207	1103816.6249999655	1114254.0703482204	676643.1736550303	1169401.4093585399
P11047	533069.8125000164										446606.4999999935	328929.2500000109	
P11142	4009774.250000092	4212748.499999871	3370927.2500000163	4079983.250000051	2076787.3750000042	3856292.499999989	3087467.9999999213	993345.5624999724	2652444.9999999297	4110236.74999992	4290124.0000000475	1687073.6249999516	2768711.500000012
P11216	679160.8262341694	590602.4889175693	521470.4535136974	237133.221607751		526922.468508988	252970.7752520007		468957.2308238571	482045.1983868153	649959.620797548	284836.26719142206	464176.57669766597
P11233			731614.9374999847							744994.3124999872	888198.750000015	988537.812500007	385237.74999999953
P11586	586594.0887012411	351798.8344050334	415018.46732380684	270339.8965484487		223952.29974932902	200001.10504462593		225307.7560829343	610970.2183542971	559199.5130871014	461732.59645923774	499997.30643732025
P11678										1003293.2263816348	1340168.736050663	621523.4341239778	851827.7968935092
P11717		327240.71879999846	239334.1718999921							237064.9999999975	243628.56250000227	267638.59380000253	255692.95310000808
P11766	998421.8125000027	967674.7500000194	723829.249999978			843592.0000000027	718884.8124999935			619825.1249999884	1104088.9999999986		
P12268	635817.3443373152		573416.4743180677							725648.794557265	709684.6186318167	966546.4002899679	375359.0824374661
P12272-3	242936.1249999951	754231.0624999863	637697.6875000183	835384.2500000265	1186739.000000008	1972637.1250000175	996712.5000000184		779127.1250000199	436302.87500000664	464089.7499999973		
P12273	825929.4279621958	431992.05152279546	989669.2552474433		897563.5687740364	405407.95624446217		522481.7090342208	465749.5443737956	864934.9571840859	885612.7911036148		1095372.130317289
P12429	208037.5288239641	97267.67710754827	163278.1551649762			100362.04165581173				558132.7986397173	660606.3329370203	610199.2242181384	488266.4572843694
P12724										3321808.9999999586	4397772.99999997		2746908.499999966
P13284		39519.511719998976								286854.9374999967	318723.28119999036		
P13489	831866.1704244842	627726.7774708307	399863.41851187404	459656.71835565113		468899.4012640696			881969.3956675115	915075.7881383861	975169.9391856535	1324210.1249999711	1193990.6249999607
P13639	1098515.3042204818	1109855.6620811373	1496127.2956290538	738642.495126878	251953.19609584325	960528.4881169065	443682.8010107377	408836.1656067281	784560.734861896	1526174.8847572405	1397473.009978509	616284.7778483039	1130553.0676599788
P13645	2292803.474170485	3264697.061755171	2341464.146258404	2877023.1666681548	2887901.909988766	3829066.8151716013	954167.9306073658	1529848.5944416984	2257278.39465417	4065279.8016154547	951295.4132924061	352873.8495029579	374578.68749999884
P13647	200623.50946689045	840097.3869510167	838066.3125000133	727159.8125000251	460092.0764204485	935463.3733931164	329265.515796378		497149.5625000075	1298571.6332267583	298275.24999999057		78626.98438000071
P13667	557451.3313464118	785945.2985034885	1311094.6715719898	346554.79656731774	270944.60225631366	634024.3810290095	667403.9799006707	269403.68872201524	580932.7537318076	1209478.4343115136	1106161.407358932	932642.4375000049	939091.3836581778
P13671	1395019.874999965	1187039.6249999756		2199002.4999999446									
P13693	418512.6487469247	950190.0046875264	577885.5886071154	740933.8743843251		980995.4209347131				589340.4349804892	564712.903289874		
P13796	108169.17027583548	208267.6709532096	456480.6874999892	294051.8502616581		291977.7161436499		106833.80472621245	212882.89389035583	1474035.7086539422	1231334.0212233926	421070.0019140878	1169641.7499999907
P13798	475058.8126876738	372339.657743797	298986.10441168636	293859.08079714567		315196.96338908444			299879.8462349607	703725.3750000056	462798.34279560257	438113.9545292286	249332.76756024145
P14174	7187949.000000051	17559625.999999534	15277283.999999566	7560116.999999976	3903351.4999999553	2823111.5000000237				10764686.000000324	11351855.999999784	2512377.749999946	10061145.999999704
P14550	2324849.3904220345	3214072.9111359343	2828814.956881724	2265885.238056203	1043334.6063410304	2482244.538097569	1216032.8751273602	1565003.088913548	2477964.0283046546	2784001.791238328	2284954.5527135367	1479170.0083571884	2443963.4545937665
P14621			92965.64062000309								56420.40625000126		82440.14844000281
P14625	1073994.1534881392	855208.2470974536	1318344.8481589432	529410.5434386446	421849.49892947386	1029430.2016957133	631339.3336829934	721972.5841450144	1051466.5574120183	1653885.3073301627	1572852.7514883627	937120.313170446	1340951.787386051
P15104		85942.87312318818								226338.73982634878	185852.76641760502		134522.1990731824
P15144	993137.9843580581	201697.71421765193	283413.5912460664		140130.33277122196					581184.0615841795	492977.3124614523	323783.34669942834	494828.21548162686
P15311	708977.5703966909	1832743.3210260156	1781324.0250513775	2186919.833335138	585648.646908239	1610700.0311715475	447913.16364203225	461253.90224605275	1146973.8120076528	1147809.420003581	1302801.9737389686	489651.9321534751	885403.3760360951
P15328	1020920.4058698686	1603724.3750000263	791921.5340559981	397727.8153688535	574522.7619269781	2130380.5000000466	1401912.4001073334	1257976.2064713747	1762333.939352474	1180703.3749999728	930418.2537961365	1558849.9590649325	998845.6998170442
P15374		295083.87499999296	313891.437499994							381656.59380000783	429321.53119998873	259684.95309999477	
P15586	702456.0624999994		225229.17190000438	1148628.6250000196		1259641.5000000442			1076656.9999999725	507630.3437999823	436486.74999999726		
P15814	2052930.000000064			4073717.5000001285		2612692.0000000363	3211656.7500000335	660713.8125000165	2385351.2500000726	2078291.5000000547	1196110.2500000168		
P15880	439865.2952266567	343623.9262933969	569487.3844659715			511772.0157912841	406521.5352401168	207073.72718516062	626732.3482539642	589541.869276963	603539.1592082592	351071.69774237316	703233.6356769222
P16152	1090185.4584529519	1530392.1511741437		1283014.6553187713					716015.0065057112		1324448.402267412	1334630.5518682867	1010577.8632851631
P16401										729580.2778924095	653442.5389023686	712588.6041823737	820492.412316134
P17900	528399.3774020722		287868.13340618013		306975.8656337226	443657.1518632928		394331.44782467606	310643.4786703669	417222.3908215896	335200.86125606	373985.70518124494	608791.2499999801
P17931	656420.4387632398	942651.3993571488				874624.2192087423		589714.3044450714	567874.3406577171	1063121.897816533	1069618.7901527062	753009.9183336631	675774.7904366973
P17980										1124296.375000033		1210662.7500000214	1097358.8749999802
P17987	394581.52035189094	386956.18744084315	234453.1461939345			212238.5545720617	109587.04954210515		179808.73138246976	441779.8226592152	531772.2765965717	415941.52073626005	395577.98425431474
P18065	6424743.3400892	6074925.365174456	3450239.6246518493	8862709.477430392	7637581.6753471	4105090.38097694	5693872.719607088	3428598.4237883543	6330520.358397408	4662921.038135185	4316363.661308223	3783922.9695681105	6037753.571858361
P18077	933767.0056434616	1969937.8263391117	1471743.9152451262	347041.38245722547	231714.36030336897	968075.7056860515	1538865.765245103		1321332.419288382	981649.761896527	1636051.4901733752	495766.74713602	286957.2912449441
P18085	953184.8070040833	520166.1450802624	692649.9016556407	526041.7509127125	205156.66260843165	805443.4172150478	1189831.6761912662	1199504.053939251	790722.1995351566	802685.0312148375	771036.2518349563	356453.12542890717	749768.6926739211
P18124	370661.72772177646	437563.655610197	491380.93856547924	189388.12703505787		481079.2494309112	339692.80956226005	167462.43408906722	410019.2094673306	565168.6419445699	776132.1250000064	532598.812500019	584834.8814026868
P18428	319759.6487879819	125740.29021278053	225965.12520536786	176697.60889593564	142647.0282432183	131108.07450951022			144859.67015438812	403996.71601829416	332538.5583846256	144971.3329819777	406175.2722104603
P18669	750060.5634418328	888417.6660415463	757294.7107740005	453224.0530373439		756561.494030877	297302.33078205766		608837.7114681032	1063334.3749999974	1020404.9715259334		640271.8226670013
P19652	4274881.291153749	1423246.4789932598	3482419.2722468376	2397234.2865890423	2681085.6584144733	2343841.112215251	1406007.8524198255	1820990.7645578296	2208091.588374239	2036193.5371274408	2420004.7662275215		2873199.9876387455
P19823	946745.6886331035	1038667.6606970198	325820.6126494322	1373379.8701230504	1197113.0037170378	961301.7596998113	310950.20095316926	242914.0707727716	637529.6282624333	677220.2576196768	822875.5228787819	424820.65463429387	520376.7557199801
P19827	375347.6400849812	366815.012767484	83068.01611859475	572681.9374999879	446868.5899758385	478165.64824790147			312756.8205852812	337618.7701114262	433688.2353841017	228249.11427408055	441793.5586419704
P19835	45662213.40078136	53288343.75439046	33913115.999999374	87856751.99999703	63178279.79819289	60818748.39744935	14237217.418703888	47413153.59791512	67700801.26748803	42319533.50542893	36328472.00833645	17917387.99999951	45538281.30943815
P20061	4281093.395575243	777684.2361817686	3663796.185560481	2422926.6462716097	1632373.17972392	3562169.5396077717	1089160.5175534792	2079890.5659202924	3122763.445340519	2161692.7747707167	1730863.1109600917	851217.1635003729	2089610.372137586
P20160										3315631.1554899043	2954197.691377353	2124719.948271081	3874223.7768976907
P20618	722151.0204632918	483885.49977815204	669337.3647905574	441775.73847916775		427642.4721800843	443695.00562706264		407995.97122601187	804236.5670501275	781361.3830482496	560267.2075413734	943281.9007657216
P21281	630075.6875000194										906578.2500000157	656811.7500000129	
P21399	1147770.660085404	1580584.0853586094	1457300.8495514495	784312.6579935749	427535.0722789042	985975.3813947276	417928.49630738894	518256.73395924515	710372.5950702025	1355673.7567711072	1235428.994441429	667928.1318004766	1015550.6115855435
P21796												377177.9375000011	279908.9687999998
P21926	372873.27226636006	148845.6948964282	209935.6153722514	228984.69890479775		170746.26994647642	41479.012227512925	87774.55778462467	653606.7846131815	220195.76405919006	117612.60607479102	225650.62255340721	488174.95039392443
P22059	181852.4131969184		289146.15827893035							316678.14458518615	270755.4989916462	178543.6823034417	296384.47944320657
P22079		1884742.9269483602	1308936.3055174816	2096551.413598554	1409558.2484865424	1526297.031355786	684740.395775141	431398.9110476327	558180.2159512918	590408.4566619049	618143.0317074303		
P22102	206338.50000000134		184788.20310000033							212384.60939999696	192115.5781000061		211258.39060000435
P22352	3229945.3611887	6049828.354084754	3978574.6903111534	6244877.36472167	5841983.600124348	4465167.500000073	3602421.931356908	2129505.177119444	3570058.478211243	3745712.284710868	3589684.61029984	1581999.820338626	3060838.016495169
P22676	158484.46224974364	239712.23164113078	157512.51725551375	233041.25520479504		178009.0801582877				172791.73126881552	176125.66418174806		88951.66722605914
P22897	7000398.995073745	7497805.349748252	2944821.0109039214	6813553.407914366	11917152.701979227	11463352.663179323	3216484.3080351977	4738385.6840904495	8579184.274521716	6040793.9075484695	6327693.909577245	2135886.630852535	5543278.137679709
P23083			1382211.750000028		3797305.4999998906					1198156.8750000296			1122139.4999999667
P23280-2	1069247.1250000224	4267935.000000038	3397151.5000000577	5590681.999999858	4568955.000000048	5171426.499999964	6710975.999999765	3620269.4999999614	5039528.999999882	4235971.499999874	3741838.7499999087	2030681.5000000505	3357417.5000000885
P23284	3034218.913443468	3543565.159391695	3917283.2984066606	4406515.002080712	3386683.072592897	4877027.3057139125	1513876.8752096882	2150958.9988246863	3032238.9765517195	2936947.6540766386	2969961.479681997	1647992.4195516545	2473292.154224797
P23381		192670.74999999686	66955.83594000076			80164.02344000232			141720.60939999684		59134.80077999958		90438.5781200008
P23396	2760004.000000033		1394811.2499999844			1195872.1249999881	2125206.000000043			2305977.99999994	2343913.7500000154	3121469.750000044	2193795.7499999274
P23528	309663.7063238513	185813.341551925	236509.25855435143	197236.3867878029		250901.20450379385			555912.3647526257	473438.81867191254	268427.877986154		833258.4361817323
P24158			559502.2162340966			184071.0977687772			137910.41955122622	1608145.1381158524	1051505.499122921	758997.4188482426	1735329.1228210323
P24298	1031004.6880000001	474791.4997093393	464114.02635537396	678245.6250000043	246702.2719892344	769798.7500000119	284725.31644525344		403308.0584897613	964005.2316469831	765252.6874999906		780112.8766318234
P24534	1098558.9993820724	1090965.1961239576	900270.3749999871	586593.1534722629		1420731.5269478732	913712.7156603488		651865.1321663065	777719.7616590626	1395427.1161436178	1752592.544748038	
P25098										177992.1562000035	122433.46880000297		
P25311	3048346.8967823815	4409587.6795811495	3067905.9747386756	4253732.782229327	2958387.210798909	7328873.11679015	2348938.0736751542	3332169.441605204	5727329.9917316595	2709741.545463289	2598827.140263865	1271303.7542047359	2407642.987195431
P25398	959515.3925868624		1295157.3603848317			1025603.7439119956			1148607.208066227	1510268.3122051472		1661290.891060866	1291455.5859108313
P25787	1034395.4999999994	594374.0000000033	814295.6250000172	549725.6249999913		641468.8124999953		247113.17189999332	695965.8750000142	920101.1249999881	897217.9374999957	422532.3749999868	1403886.3750000463
P25789	1356247.8670717692								608673.3444643833	1558991.5431976956	1361892.7052678466	1258892.9823430274	
